,spp_name,z,c
0,ACALDI,0.7323239862387888,-6.009971028591406
1,ADE1TR,0.7801171678686076,-7.54108390611726
2,ALCHCO,0.8286089023075497,-6.644804162507927
3,ALIBED,0.6947738900215302,-4.9710964444157275
4,ALLOPS,1.0714252462539147,-8.38205398883631
5,ALSEBL,0.4784648412728301,-2.523713037979338
6,ANAXPA,1.1575770964110815e-16,-2.3025850929940463
7,ANDIIN,-0.00291162251916949,1.8597932351888389
8,ANNOAC,0.7691444463542507,-6.19928309280856
9,ANNOSP,0.5685554100351689,-5.267531956337236
10,APEIME,0.3519089444310724,-1.890503531012726
11,ARDIFE,0.6429534186382809,-6.175287938694199
12,ASPICR,0.2795054551848921,-2.522250794142543
13,AST1ST,0.5232013336566596,-3.3974204588707098
14,BEILPE,0.43594530074683757,-3.6190762896412387
15,BROSAL,0.5938516608772713,-3.089585591347217
16,CALOLO,0.3526950683465536,-3.2438990231677054
17,CAPPFR,0.25454203522073165,-0.871194903225308
18,CASEAC,0.30257807727871816,-1.086361584058245
19,CASEAR,0.42738150756360094,-3.4109202380335066
20,CASESY,-0.5038011087612217,6.921806429241286
21,CASSEL,0.31636922358290326,-1.7649637708879728
22,CECRIN,0.8781052679308722,-7.348814536610872
23,CECROB,0.7790144472842744,-7.205797308729666
24,CELTSC,-0.18801471673007306,4.229381512981573
25,CHA2SC,0.31706862870425684,-4.67665930572707
26,CHR1EC,0.36091656649282317,-3.4174434263158027
27,CHR2AR,0.27721195076528504,-0.6598146759917332
28,CHR2CA,0.27993564720371145,-1.9510568120723262
29,COCCCO,-0.25421826549200305,5.8816584983382185
30,COCCMA,0.6194940874088131,-4.183468593742877
31,CORDAL,0.6089349680324385,-5.734354396491956
32,CORDBI,0.2653539737164373,-1.7726520512039827
33,CORDLA,0.32207355745034677,-1.3167946703927877
34,COU2CU,0.31196061192594565,-2.6563325572429286
35,CROTBI,0.8995747158098756,-8.28894672582528
36,CUPASY,0.6369421741158071,-4.489936774893295
37,DES2PA,0.4301877844581476,-1.1866044170464352
38,DRYPST,0.11871258818916094,-1.621736280585929
39,ERY2MA,0.4039164074813144,-0.5569581970499261
40,ERY2PA,0.5132283918290933,-2.6610006851372088
41,EUGECO,0.48581350339558144,-3.0884655885147803
42,EUGEGA,0.9382011674938074,-6.345662930860334
43,EUGENE,0.8249166112682843,-5.404288045919559
44,EUGEOE,0.6049842892350632,-4.050789293163131
45,FARAOC,0.480787805082731,-2.0153741408010046
46,GAR2IN,0.38104625840926376,-1.4261559121772944
47,GAR2MA,0.3057520878102311,-2.47163028029863
48,GUAPST,0.686755622645075,-4.622184940259491
49,GUARGU,0.2833464900471707,-1.3637796071235524
50,GUARSP,0.4546510465400261,-1.804125454860279
51,GUATDU,0.5216888608832235,-3.7233572610563805
52,GUETFO,0.8304804793038271,-5.390853085239987
53,GUSTSU,0.29756135116441806,-3.0349111856541255
54,HAMPAP,0.5654545713790382,-5.4741841307542325
55,HASSFL,0.3148186315592064,-1.8502511524425675
56,HEISAC,0.4525916339576494,-3.599240623793664
57,HEISCO,0.2943803613538256,-1.552970892998777
58,HERRPU,0.5146824308513002,-2.2038726710216454
59,HIRTTR,0.398405097943064,-2.1896861449501217
60,HURACR,0.0025784602245968883,-0.10211148138098419
61,HYBAPR,0.44734196755403616,-2.028042211452341
62,INGAGO,0.210225860349012,0.5809252316132353
63,INGAMA,0.5956470383129658,-4.350541809424552
64,INGAPE,-0.014689888326279979,-1.5820206977679088
65,INGAQU,0.43879555363106787,-2.2571005720426753
66,INGAS1,0.22827690357076752,-1.2841324628708126
67,INGASA,0.5037045471935976,-2.311123599975684
68,INGATH,-0.03426515307498159,-1.0828178604263712
69,INGAUM,0.5688373456719835,-2.817718718929407
70,JAC1CO,0.43281726169086326,-3.1926739309384113
71,LACIAG,0.30849974366982824,-1.2428607247577037
72,LACMPA,0.7516551236207105,-3.370623761559327
73,LAETTH,0.3438009472188429,-3.2701265279618603
74,LICAHY,0.37100468965758854,-4.017640570277719
75,LICAPL,0.15278322651919188,-2.036666652537779
76,LONCLA,0.35974689827674927,-2.346297535607895
77,LUEHSE,0.7088560355059513,-5.596146164570874
78,MALMSP,0.3061406153520227,-1.88199764658526
79,MAQUCO,0.4919471870373222,-2.6111394801545154
80,MICOAF,0.21612717243579135,-2.299495106333534
81,MICOAR,0.7343971868768117,-5.70305889002845
82,MICONE,0.32266732833238665,-3.6280105743647644
83,MOURMY,0.2317385513543597,-0.3522045095200164
84,NECTCI,0.15000283551226964,-2.396050401270846
85,NECTGL,0.45005156305148697,-4.0741870339414525
86,OCOTCE,0.7065610931226834,-4.3442111646751425
87,OCOTOB,0.6525314710707442,-5.079611980035004
88,OCOTPU,0.4338164260480969,-2.8542899951430187
89,OCOTWH,0.33219733623624903,-4.074879679736616
90,OENOMA,0.27184469186867416,-1.039171708889197
91,OLMEAS,0.2841479541130626,-3.7823534418649123
92,ORMOCR,0.20176759033781003,-2.270896479705966
93,ORMOMA,0.17528165565877019,-0.11261044051485236
94,OURALU,0.640023246394946,-4.497499038594856
95,PALIGU,0.7295510365207926,-6.185035932808979
96,PENTMA,0.3094527086242544,-1.4121368107434344
97,PEREXA,0.2816356470440785,-4.371681912034687
98,PICRLA,0.3250581498659725,-1.8948503733410749
99,PIPERE,0.7259824449359573,-5.539220466359827
100,PLA1PI,0.5949821216031086,-4.701965955299127
101,PLA2EL,0.6497035500276576,-5.166497090140311
102,POULAR,0.4274688104322153,-3.7460380023554825
103,POURBI,0.3023787403779768,-4.649242091060876
104,POUTRE,0.6394421036613362,-2.732543598858049
105,PRI2CO,0.2080251605159578,-2.616995636381272
106,PROTCO,0.41690925794073713,-3.0657083348924736
107,PROTPA,0.24280589697957766,-1.5138443627383789
108,PROTTE,0.1746664530131251,-1.0413003546353323
109,PSYCHO,0.357769359567464,-2.430437109293054
110,PSYCMA,0.34862422804511556,-3.053283095232896
111,PTERRO,0.2779442198731638,-0.5348572755526609
112,QUARAS,0.37856655616463175,-2.107951827526373
113,QUASAM,0.37917903222956184,-4.3535554239544965
114,RANDAR,0.4206754664462455,-1.6149094111658193
115,RINOSY,0.9540677452248059,-9.208085840307447
116,SENNDA,0.5640263175331616,-4.993645730045528
117,SIMAAM,0.36928633931976457,-1.9089427989737477
118,SIPAPA,0.4727995855257476,-3.3516860884125657
119,SLOATE,0.1737656135515676,-0.993203110330452
120,SOCREX,0.268736226540764,-3.3717150503245312
121,SOROAF,0.478306227702972,-2.037924024124419
122,SPONRA,0.46052384559571397,-4.223276587920834
123,STYLST,0.44542681708877035,-1.877876480924282
124,SWARS1,0.27459957047974554,-1.722805571660635
125,SWARS2,0.2665867962546539,-1.211119495497867
126,SYMPGL,0.397994103102128,-4.047076920066232
127,TAB1RO,0.8703385160171833,-6.517840038993897
128,TAB2AR,0.26523704080277116,-0.7842417265285647
129,TACHVE,0.3780693573062785,-2.537854134530779
130,TALINE,0.3730812042228573,-3.772509106639887
131,TALIPR,0.1693788932138559,-0.7343516919632761
132,TET2PA,0.34017476696857046,-1.8061122018256437
133,TRI2PA,0.26655028368312694,-1.603401064373964
134,TRI2TU,0.18877886807087085,-0.6051004470789412
135,TRIPCU,0.2875956413309215,-2.642215510303804
136,TROPRA,0.321187191214359,-1.8033033071281188
137,UNONPI,0.4402527314128148,-3.6952635099662623
138,VIROSE,0.37593241151434414,-1.9896731650489587
139,VIROSU,0.48842092168405454,-3.7259361982477093
140,XYL1MA,0.24209037542349918,-2.919420229546015
141,ZANTBE,0.5703854668659976,-4.90088388556593
142,ZANTP1,0.720611836237639,-6.0838583832857
